page_path,tot,money_diff%,early_diff%,services_diff%,scaleups_diff%,others_diff%
/articles/list-12-startups-reverse-ageing/,313,0.2648736875,0.3364721708,-0.4063332852,-0.4131485002,-0.4583127597
/articles/most-active-early-stage-healthtech-investors/,313,-0.1807812905,1.158916584,0.5365491442,-0.673971389,-0.2906476615
/articles/eqt-growth-fund-raise/,311,0.2796038194,-0.1463998854,0.2301151618,-0.671874742,-0.4288687281
/articles/rishi-sunak-uk-startup-friendly-pm/,311,-0.2480678587,0.6554668888,1.038476554,-0.2124993807,-0.1822438606
/articles/vc-follow-up-email/,311,-0.08317045926,0.5778668784,-0.05105401803,0.05000082568,-0.1173425797
/articles/fractional-ownership-real-estate-fintech/,310,0.1249194203,0.1677549954,0.02252614234,-0.07828556552,-0.3228493453
/articles/impact-vc-carry/,304,0.01216627403,-0.3913674622,-0.4606684934,-0.7314553809,0.4872640897
/articles/britishvolt-administration-northvolt-gigafactory/,303,-0.2417549549,0.5133282559,0.4790380413,-0.4611381901,0.1324523832
/articles/startup-downturn-advice/,303,0.3066186937,0.1681832151,-0.09814753578,0.01036589352,-0.6536028004
/articles/hottest-future-of-work-startups-in-europe/,301,-0.1753815233,1.031178124,0.05310001371,0.1526898599,-0.2221333522
/articles/startup-valuations-european-tech/,300,0.3265226262,-0.007840755735,0.02017550753,-0.183624358,-0.6097702317
/articles/nato-1bn-defence-venture-fund/,299,-0.03265339643,0.53357345,-0.1591960103,-0.7269646682,-0.0009109841784
/articles/creator-economy-startups-vcs/,290,-0.03092641424,0.4424682396,0.09304518664,-0.2258506843,-0.1508674483
/articles/danish-startups-2022-vc/,290,0.05395594364,0.5256875611,-0.05771966669,0.1260353682,-0.3735907405
/articles/eu-startup-financing-eic-alter-domus-news/,289,-0.02047521273,0.558802516,0.2859355137,-0.4350341578,-0.2596762539
/articles/startups-tech-downturn-layoffs-hiring/,289,-0.1624353268,0.7814885897,0.2481138809,1.68358775,-0.4971385876
/articles/why-people-leave-startups/,289,-0.4108655265,1.226860737,1.307119598,0.2005524147,-0.3295181168
/articles/european-biotech-vcs/,288,0.225096068,-0.1899600765,0.4042594412,-0.7165362354,-0.3552238024
/articles/four-day-week-doesnt-work/,283,0.2829833421,0.02333299953,-0.3047769131,0.1538878332,-0.4864772149
/articles/pure-dating-app-sex/,282,-0.05435434634,0.7116030666,0.2790954312,0.08560590687,-0.3701353703
/articles/startup-red-flag-journalist/,282,-0.112547925,0.4263358888,0.899262913,-0.6381313644,-0.1983541077
/articles/day-one-sifted-summit-top-takeaways/,281,-0.1531902375,1.003976544,0.1280537513,0.01683798821,-0.2529654699
/articles/satispay-italy-unicorn-lee-fixel-news/,276,-0.2196051336,0.1950214164,0.3465049401,0.7747296564,0.05309382749
